CLOCK_REF  mono_ns=36352901455216  real_ns=1787630976728983784
WRITE  gpa=0x000000011f46e000  ts=36353299838984
WRITE  gpa=0x000000011f444000  ts=36353299843954
WRITE  gpa=0x000000011f0ce000  ts=36353299848154
WRITE  gpa=0x000000010ca12000  ts=36353299851314
WRITE  gpa=0x00000000c0030000  ts=36353299857214
WRITE  gpa=0x00000000c0031000  ts=36353299867604
WRITE  gpa=0x00000000c0032000  ts=36353299872774
WRITE  gpa=0x00000000c0033000  ts=36353299877914
WRITE  gpa=0x00000000c0034000  ts=36353299882744
WRITE  gpa=0x00000000c0035000  ts=36353299887853
WRITE  gpa=0x00000000c0036000  ts=36353299892823
WRITE  gpa=0x00000000c0037000  ts=36353299897833
WRITE  gpa=0x00000000c0038000  ts=36353299902813
WRITE  gpa=0x00000000c0039000  ts=36353299907833
WRITE  gpa=0x00000000c003a000  ts=36353299912813
WRITE  gpa=0x00000000c003b000  ts=36353299917853
WRITE  gpa=0x00000000c003c000  ts=36353299922883
WRITE  gpa=0x00000000c003d000  ts=36353299927883
WRITE  gpa=0x00000000c003e000  ts=36353299933443
WRITE  gpa=0x00000000c003f000  ts=36353299938443
WRITE  gpa=0x000000010c9b8000  ts=36353299945833
WRITE  gpa=0x0000000103826000  ts=36353299950583
WRITE  gpa=0x000000011eed5000  ts=36353299953723
WRITE  gpa=0x0000000104c57000  ts=36353299957253
WRITE  gpa=0x0000000104da4000  ts=36353299961713
WRITE  gpa=0x0000000118286000  ts=36353299965403
WRITE  gpa=0x0000003f7fc1e000  ts=36353299971903
WRITE  gpa=0x0000003f7fc33000  ts=36353300524867
WRITE  gpa=0x0000003f7fc2d000  ts=36353300533127
WRITE  gpa=0x0000000120081000  ts=36353300541097
WRITE  gpa=0x0000000120078000  ts=36353300546217
WRITE  gpa=0x0000000121913000  ts=36353300550197
WRITE  gpa=0x0000000121914000  ts=36353300554637
WRITE  gpa=0x0000000121918000  ts=36353300557667
WRITE  gpa=0x000000011ecb0000  ts=36353300562247
WRITE  gpa=0x00000001217ac000  ts=36353300566037
WRITE  gpa=0x0000000120815000  ts=36353300570656
WRITE  gpa=0x000000011ee3d000  ts=36353300573736
WRITE  gpa=0x00000001195b6000  ts=36353300578916
WRITE  gpa=0x00000001182ab000  ts=36353300584746
WRITE  gpa=0x00000001217ad000  ts=36353300588866
WRITE  gpa=0x000000011eefb000  ts=36353300592506
WRITE  gpa=0x0000000114e56000  ts=36353300598816
WRITE  gpa=0x0000000107248000  ts=36353300605666
WRITE  gpa=0x000000011a9e9000  ts=36353300610276
WRITE  gpa=0x000000011cb48000  ts=36353300615006
WRITE  gpa=0x00000001069ad000  ts=36353300619826
WRITE  gpa=0x00000001154d9000  ts=36353300628556
WRITE  gpa=0x0000000115544000  ts=36353300635016
WRITE  gpa=0x0000000104f04000  ts=36353300641116
WRITE  gpa=0x000000011597e000  ts=36353300647176
WRITE  gpa=0x0000000115900000  ts=36353300652336
WRITE  gpa=0x0000000118698000  ts=36353300656786
WRITE  gpa=0x000000011554e000  ts=36353300681805
WRITE  gpa=0x00000001076ba000  ts=36353300691075
WRITE  gpa=0x00000001182a9000  ts=36353300715265
WRITE  gpa=0x0000000104bfa000  ts=36353300719795
WRITE  gpa=0x00000001182e5000  ts=36353300723275
WRITE  gpa=0x0000003ce5c29000  ts=36353300729375
WRITE  gpa=0x0000003ce62f8000  ts=36353300737385
WRITE  gpa=0x0000003ce61d6000  ts=36353300740975
WRITE  gpa=0x0000000103b4f000  ts=36353300744235
WRITE  gpa=0x0000000122bd8000  ts=36353300746665
WRITE  gpa=0x00000001036a1000  ts=36353300752895
WRITE  gpa=0x000000011f366000  ts=36353300755625
WRITE  gpa=0x000000010423f000  ts=36353300760315
WRITE  gpa=0x0000000116f1e000  ts=36353300764294
WRITE  gpa=0x00000001045e6000  ts=36353300769694
WRITE  gpa=0x0000000104186000  ts=36353300774014
WRITE  gpa=0x00000001040af000  ts=36353300778284
WRITE  gpa=0x00000001040a4000  ts=36353300781604
WRITE  gpa=0x00000001035db000  ts=36353300784964
WRITE  gpa=0x00000001035ee000  ts=36353300787744
WRITE  gpa=0x0000000122315000  ts=36353300791464
WRITE  gpa=0x0000000103521000  ts=36353300797584
WRITE  gpa=0x000000011f377000  ts=36353300800294
WRITE  gpa=0x0000000104cc9000  ts=36353300804824
WRITE  gpa=0x0000000117ea1000  ts=36353300808294
WRITE  gpa=0x0000000104e0b000  ts=36353300814364
WRITE  gpa=0x0000000104ccc000  ts=36353300817174
WRITE  gpa=0x00000003b532c000  ts=36353300820174
WRITE  gpa=0x00000003b670d000  ts=36353300823744
WRITE  gpa=0x0000000107757000  ts=36353300828014
WRITE  gpa=0x00000001ae501000  ts=36353300832664
WRITE  gpa=0x00000003415e0000  ts=36353300837974
WRITE  gpa=0x00000001ae456000  ts=36353300842404
WRITE  gpa=0x000000011ed26000  ts=36353300845114
WRITE  gpa=0x0000000103611000  ts=36353300849744
WRITE  gpa=0x00000001040a3000  ts=36353300852564
WRITE  gpa=0x000000011f364000  ts=36353300856604
WRITE  gpa=0x000000011f37e000  ts=36353300859394
WRITE  gpa=0x000000012227b000  ts=36353300862483
WRITE  gpa=0x0000000120083000  ts=36353300865303
WRITE  gpa=0x0000000103520000  ts=36353300871473
WRITE  gpa=0x0000000103c3a000  ts=36353300874433
WRITE  gpa=0x0000000104188000  ts=36353300877623
WRITE  gpa=0x0000000103bc8000  ts=36353300880563
WRITE  gpa=0x000000011f375000  ts=36353300884713
WRITE  gpa=0x0000000115995000  ts=36353300887883
WRITE  gpa=0x0000000102e06000  ts=36353300893613
WRITE  gpa=0x000000011f374000  ts=36353300896453
WRITE  gpa=0x0000000104e24000  ts=36353300899673
WRITE  gpa=0x0000000117ea0000  ts=36353300902523
WRITE  gpa=0x0000000104e25000  ts=36353300905213
WRITE  gpa=0x0000000117eae000  ts=36353300907503
WRITE  gpa=0x0000000104f18000  ts=36353300912433
WRITE  gpa=0x0000000100266000  ts=36353300916183
WRITE  gpa=0x00000001223a1000  ts=36353300920753
WRITE  gpa=0x0000000104c76000  ts=36353300927923
WRITE  gpa=0x0000000104bec000  ts=36353300930743
WRITE  gpa=0x0000000103d32000  ts=36353300934943
WRITE  gpa=0x0000000103c5e000  ts=36353300938573
WRITE  gpa=0x0000000103d71000  ts=36353300942093
WRITE  gpa=0x0000000103cc3000  ts=36353300948793
WRITE  gpa=0x0000000103c1e000  ts=36353300952823
WRITE  gpa=0x0000000103ceb000  ts=36353300955973
WRITE  gpa=0x0000000103cb7000  ts=36353300960022
WRITE  gpa=0x0000000103c1d000  ts=36353300962932
WRITE  gpa=0x0000000117d9b000  ts=36353300965642
WRITE  gpa=0x000000011cb18000  ts=36353300972492
WRITE  gpa=0x000000011a9d6000  ts=36353300977002
WRITE  gpa=0x000000010cbc5000  ts=36353300981022
WRITE  gpa=0x0000000117cea000  ts=36353300984542
WRITE  gpa=0x000000011f365000  ts=36353300988332
WRITE  gpa=0x00000001c44d7000  ts=36353300994102
WRITE  gpa=0x0000000104e23000  ts=36353300998422
WRITE  gpa=0x0000000117a8d000  ts=36353301002542
WRITE  gpa=0x000000010cbdb000  ts=36353301006272
WRITE  gpa=0x0000000108954000  ts=36353301010542
WRITE  gpa=0x0000000117cd4000  ts=36353301014762
WRITE  gpa=0x0000000117cd2000  ts=36353301017562
WRITE  gpa=0x0000000114d90000  ts=36353301021742
WRITE  gpa=0x0000000143abd000  ts=36353301026662
WRITE  gpa=0x000000011746c000  ts=36353301032152
WRITE  gpa=0x0000000143a8e000  ts=36353301035682
WRITE  gpa=0x000000010ca8e000  ts=36353301039242
WRITE  gpa=0x00000001a20c0000  ts=36353301044922
WRITE  gpa=0x00000003d6a3a000  ts=36353301050592
WRITE  gpa=0x00000003da83e000  ts=36353301054792
WRITE  gpa=0x000000011edca000  ts=36353301058571
WRITE  gpa=0x000000011f3c7000  ts=36353301061711
WRITE  gpa=0x00000003416a9000  ts=36353301067011
WRITE  gpa=0x000000034169c000  ts=36353301073351
WRITE  gpa=0x0000000147338000  ts=36353301076931
WRITE  gpa=0x0000000117f5b000  ts=36353301082791
WRITE  gpa=0x000000011cb21000  ts=36353301085961
WRITE  gpa=0x0000000117e67000  ts=36353301089161
WRITE  gpa=0x0000003f7fc38000  ts=36353301097781
WRITE  gpa=0x0000003ce5a09000  ts=36353301102051
WRITE  gpa=0x0000003ce5de3000  ts=36353301108951
WRITE  gpa=0x00000001186b2000  ts=36353306734104
WRITE  gpa=0x00000001186b1000  ts=36353306739794
WRITE  gpa=0x0000000307bdf000  ts=36353306748784
WRITE  gpa=0x00000001a205d000  ts=36353306755314
WRITE  gpa=0x00000003b64dc000  ts=36353306762154
WRITE  gpa=0x00000003b80b4000  ts=36353306769894
WRITE  gpa=0x000000011f3c1000  ts=36353306799123
WRITE  gpa=0x000000035e2e2000  ts=36353306805533
WRITE  gpa=0x000000035e245000  ts=36353306815923
WRITE  gpa=0x00000003b64b5000  ts=36353306822363
WRITE  gpa=0x00000003b65f3000  ts=36353306828733
WRITE  gpa=0x00000003415b0000  ts=36353306835453
WRITE  gpa=0x00000003b73c5000  ts=36353306843223
WRITE  gpa=0x00000002ec79a000  ts=36353306850083
WRITE  gpa=0x00000003b6dbb000  ts=36353306858113
WRITE  gpa=0x00000003b5f74000  ts=36353306864823
